sector,publishedDate,sentiment
Basic Materials,30/07/2022,0.887081087
Basic Materials,10/08/2022,0.829898477
Basic Materials,18/08/2022,0.731012404
Basic Materials,25/08/2022,-0.01332213
Basic Materials,29/08/2022,-0.945033342
Basic Materials,31/08/2022,0.401855081
Basic Materials,02/09/2022,-0.929015741
Basic Materials,03/09/2022,0.727407068
Basic Materials,08/09/2022,0.282073538
Basic Materials,09/09/2022,0
Basic Materials,11/09/2022,-0.222486734
Basic Materials,12/09/2022,0.101361235
Basic Materials,13/09/2022,-0.483761996
Communication Services,18/06/2014,-0.309740861
Communication Services,04/01/2019,0.09421767
Communication Services,08/01/2019,0.314222157
Communication Services,15/01/2019,-0.272185721
Communication Services,24/01/2019,0.416232735
Communication Services,29/01/2019,-0.275161922
Communication Services,08/02/2019,0
Communication Services,12/02/2019,0.597202957
Communication Services,19/02/2019,-0.43642205
Communication Services,24/02/2019,0
Communication Services,12/03/2019,0
Communication Services,13/03/2019,-0.154782285
Communication Services,04/04/2019,-0.275233011
Communication Services,09/04/2019,0.450317696
Communication Services,17/04/2019,0.400826514
Communication Services,19/04/2019,0.233052671
Communication Services,10/05/2019,-0.420580298
Communication Services,01/07/2019,-0.482751251
Communication Services,15/07/2019,-0.154151023
Communication Services,30/07/2019,0.462794781
Communication Services,19/08/2019,0.310644359
Communication Services,13/09/2019,-0.867945731
Communication Services,23/09/2019,0.570400447
Communication Services,15/10/2019,0.345464081
Communication Services,21/10/2019,0.443966002
Communication Services,24/10/2019,-0.947000116
Communication Services,28/10/2019,0.229524791
Communication Services,01/11/2019,-0.16411372
Communication Services,11/11/2019,0
Communication Services,18/11/2019,-0.951509029
Communication Services,27/11/2019,-0.914996237
Communication Services,03/12/2019,-0.179014951
Communication Services,06/12/2019,0.17470031
Communication Services,19/12/2019,-0.377533496
Communication Services,23/12/2019,0.120702476
Communication Services,29/12/2019,-0.024098754
Communication Services,30/12/2019,0.151239544
Communication Services,02/01/2020,-0.085397765
Communication Services,06/01/2020,0.355623991
Communication Services,07/01/2020,0.334339142
Communication Services,08/01/2020,0.395569096
Communication Services,09/01/2020,-0.375723899
Communication Services,10/01/2020,0
Communication Services,13/01/2020,0.146385859
Communication Services,15/01/2020,0.016363114
Communication Services,16/01/2020,0.033107713
Communication Services,20/01/2020,0
Communication Services,21/01/2020,0.881194413
Communication Services,22/01/2020,0
Communication Services,23/01/2020,-0.238723338
Communication Services,24/01/2020,0
Communication Services,27/01/2020,0
Communication Services,28/01/2020,-0.003291905
Communication Services,29/01/2020,0.555053214
Communication Services,30/01/2020,-0.075419227
Communication Services,31/01/2020,-0.928645238
Communication Services,01/02/2020,0.820965559
Communication Services,03/02/2020,-0.110063314
Communication Services,05/02/2020,0.27772221
Communication Services,06/02/2020,-0.040229306
Communication Services,07/02/2020,0.25259795
Communication Services,08/02/2020,0.326208741
Communication Services,10/02/2020,-0.155173779
Communication Services,11/02/2020,-0.248408186
Communication Services,12/02/2020,-0.641511331
Communication Services,13/02/2020,0.439849224
Communication Services,14/02/2020,-0.592173676
Communication Services,15/02/2020,0
Communication Services,17/02/2020,0.039833248
Communication Services,18/02/2020,-0.342367381
Communication Services,20/02/2020,0.137475833
Communication Services,21/02/2020,-0.034962267
Communication Services,22/02/2020,0
Communication Services,24/02/2020,0
Communication Services,25/02/2020,-0.331457734
Communication Services,27/02/2020,-0.272523512
Communication Services,28/02/2020,-0.858894527
Communication Services,29/02/2020,-0.146649823
Communication Services,01/03/2020,0
Communication Services,02/03/2020,0.110507138
Communication Services,03/03/2020,-0.353974968
Communication Services,04/03/2020,-0.410772377
Communication Services,05/03/2020,-0.017366305
Communication Services,06/03/2020,-0.032003775
Communication Services,07/03/2020,-0.24903132
Communication Services,10/03/2020,-0.620673438
Communication Services,11/03/2020,0
Communication Services,12/03/2020,0.369069149
Communication Services,13/03/2020,-0.841083691
Communication Services,14/03/2020,0.199417368
Communication Services,15/03/2020,-0.814032772
Communication Services,16/03/2020,-0.66722168
Communication Services,17/03/2020,-0.068084866
Communication Services,18/03/2020,-0.138423393
Communication Services,19/03/2020,-0.135081505
Communication Services,20/03/2020,-0.012408756
Communication Services,21/03/2020,-0.863528311
Communication Services,23/03/2020,0.25706957
Communication Services,24/03/2020,-0.262308795
Communication Services,25/03/2020,-0.259581317
Communication Services,26/03/2020,-0.460762501
Communication Services,27/03/2020,-0.24095806
Communication Services,28/03/2020,-0.937425912
Communication Services,30/03/2020,-0.169702761
Communication Services,31/03/2020,-0.919679478
Communication Services,01/04/2020,-0.069797421
Communication Services,02/04/2020,-0.109311518
Communication Services,04/04/2020,-0.429678917
Communication Services,05/04/2020,-0.543282926
Communication Services,06/04/2020,-0.410905764
Communication Services,07/04/2020,-0.488889868
Communication Services,08/04/2020,0.012220045
Communication Services,09/04/2020,0.907010853
Communication Services,10/04/2020,-0.921841502
Communication Services,13/04/2020,-0.486121223
Communication Services,14/04/2020,0.569262068
Communication Services,15/04/2020,0.225137477
Communication Services,16/04/2020,0
Communication Services,17/04/2020,-0.377475005
Communication Services,20/04/2020,0.076860156
Communication Services,21/04/2020,0.466324657
Communication Services,22/04/2020,-0.234139999
Communication Services,23/04/2020,-0.484180311
Communication Services,24/04/2020,0.11729411
Communication Services,27/04/2020,0.451857999
Communication Services,28/04/2020,-0.44681108
Communication Services,29/04/2020,-0.626586139
Communication Services,30/04/2020,-0.012240638
Communication Services,01/05/2020,-0.181551307
Communication Services,05/05/2020,-0.464329183
Communication Services,06/05/2020,0.468102243
Communication Services,07/05/2020,-0.28206766
Communication Services,08/05/2020,-0.895768196
Communication Services,11/05/2020,0.429024518
Communication Services,13/05/2020,-0.137874136
Communication Services,14/05/2020,-0.286724245
Communication Services,15/05/2020,-0.253938866
Communication Services,18/05/2020,-0.106636201
Communication Services,19/05/2020,0.042402814
Communication Services,21/05/2020,0.480813983
Communication Services,22/05/2020,-0.446546237
Communication Services,26/05/2020,0.149237732
Communication Services,27/05/2020,-0.158694953
Communication Services,28/05/2020,0.170556754
Communication Services,29/05/2020,0.261482964
Communication Services,30/05/2020,-0.17210418
Communication Services,02/06/2020,0.065134788
Communication Services,03/06/2020,-0.280188515
Communication Services,04/06/2020,-0.487110335
Communication Services,05/06/2020,-0.067534333
Communication Services,07/06/2020,0.879926116
Communication Services,08/06/2020,0.515901536
Communication Services,10/06/2020,-0.442982033
Communication Services,11/06/2020,-0.358710525
Communication Services,12/06/2020,-0.092749566
Communication Services,13/06/2020,-0.43266198
Communication Services,15/06/2020,0
Communication Services,16/06/2020,0.153453638
Communication Services,17/06/2020,0.033789555
Communication Services,18/06/2020,0
Communication Services,19/06/2020,0.080926235
Communication Services,20/06/2020,-0.681572974
Communication Services,21/06/2020,0.129232854
Communication Services,22/06/2020,-0.370549604
Communication Services,23/06/2020,0.192845901
Communication Services,24/06/2020,-0.596724172
Communication Services,25/06/2020,-0.69075503
Communication Services,26/06/2020,-0.934063415
Communication Services,27/06/2020,-0.941440076
Communication Services,28/06/2020,0
Communication Services,29/06/2020,-0.138014519
Communication Services,01/07/2020,-0.080548187
Communication Services,02/07/2020,-0.478333056
Communication Services,03/07/2020,0.856684357
Communication Services,06/07/2020,-0.34599784
Communication Services,07/07/2020,0.828258679
Communication Services,08/07/2020,0.333744705
Communication Services,09/07/2020,-0.5123816
Communication Services,10/07/2020,0.173298627
Communication Services,13/07/2020,0.069046744
Communication Services,14/07/2020,0.009384073
Communication Services,15/07/2020,-0.243054837
Communication Services,16/07/2020,-0.357813249
Communication Services,17/07/2020,0.21831286
Communication Services,18/07/2020,-0.646316667
Communication Services,20/07/2020,0.467440024
Communication Services,22/07/2020,0.091741194
Communication Services,23/07/2020,-0.482132092
Communication Services,24/07/2020,-0.323978645
Communication Services,25/07/2020,0
Communication Services,27/07/2020,-0.018697959
Communication Services,28/07/2020,-0.349369129
Communication Services,29/07/2020,-0.933553398
Communication Services,30/07/2020,0.552381641
Communication Services,31/07/2020,-0.057569906
Communication Services,01/08/2020,0.449410588
Communication Services,03/08/2020,-0.418768168
Communication Services,04/08/2020,-0.734722883
Communication Services,05/08/2020,-0.367099146
Communication Services,06/08/2020,0.319388628
Communication Services,07/08/2020,0.920070827
Communication Services,10/08/2020,0.310414776
Communication Services,11/08/2020,0.430525594
Communication Services,12/08/2020,0.156883806
Communication Services,13/08/2020,0
Communication Services,14/08/2020,-0.203859463
Communication Services,16/08/2020,-0.268441598
Communication Services,17/08/2020,0
Communication Services,18/08/2020,0.403519988
Communication Services,20/08/2020,-0.112603585
Communication Services,22/08/2020,-0.833420575
Communication Services,24/08/2020,-0.892649293
Communication Services,25/08/2020,-0.718092218
Communication Services,26/08/2020,0.464937866
Communication Services,27/08/2020,0.382764906
Communication Services,28/08/2020,0.200403839
Communication Services,30/08/2020,0.528513312
Communication Services,31/08/2020,0.163299263
Communication Services,01/09/2020,0.028757208
Communication Services,02/09/2020,0.066557712
Communication Services,03/09/2020,-0.247178212
Communication Services,04/09/2020,0.220621075
Communication Services,06/09/2020,-0.148470839
Communication Services,07/09/2020,-0.259464387
Communication Services,08/09/2020,-0.167442231
Communication Services,09/09/2020,-0.177195437
Communication Services,10/09/2020,0.578983444
Communication Services,12/09/2020,0.220238696
Communication Services,13/09/2020,0
